text,duration,question,answer,speech_path,whisper_transcription
eleven o'clock had struck it was a fine clear night they were the only persons on the road and they sauntered leisurely along to avoid paying the price of fatigue for the recreation provided for the toledans in their valley or on the banks of their river,15.77,What time was it when the two individuals were walking on the road?,Eleven o'clock had struck.,LibriSpeech/test-clean/5639/40744/5639-40744-0000.wav,
secure as he thought in the careful administration of justice in that city and the character of its well disposed inhabitants the good hidalgo was far from thinking that any disaster could befal his family,12.44,What were the factors that made the good hidalgo feel secure about the administration of justice in the city and the well-disposed inhabitants?,The good hidalgo felt secure based on his belief in the careful administration of justice in that city and the positive character of its well disposed inhabitants.,LibriSpeech/test-clean/5639/40744/5639-40744-0001.wav,
rodolfo and his companions with their faces muffled in their cloaks stared rudely and insolently at the mother the daughter and the servant maid,8.91,"How did Rodolfo and his companions behave towards the mother, daughter, and servant maid?","Rodolfo and his companions behaved rudely and insolently by staring at the mother, daughter, and servant maid with their faces muffled in their cloaks.",LibriSpeech/test-clean/5639/40744/5639-40744-0002.wav,
in a moment he communicated his thoughts to his companions and in the next moment they resolved to turn back and carry her off to please rodolfo for the rich who are open handed always find parasites ready to encourage their bad propensities and thus to conceive this wicked design to communicate it approve it resolve on ravishing leocadia and to carry that design into effect was the work of a moment,27.12,What plan did the group quickly agree on after their discussion?,"To turn back, kidnap Leocadia, and carry out their plan to please Rodolfo.",LibriSpeech/test-clean/5639/40744/5639-40744-0003.wav,
they drew their swords hid their faces in the flaps of their cloaks turned back and soon came in front of the little party who had not yet done giving thanks to god for their escape from those audacious men,12.475,What did the group of men do when they encountered the little party who were giving thanks to God?,"They drew their swords, hid their faces in the flaps of their cloaks, turned back, and soon came in front of the little party.",LibriSpeech/test-clean/5639/40744/5639-40744-0004.wav,
finally the one party went off exulting and the other was left in desolation and woe,5.645,How did the two parties react differently?,"One party left the situation feeling joyful and triumphant, while the other was left feeling devastated and filled with sadness.",LibriSpeech/test-clean/5639/40744/5639-40744-0005.wav,
rodolfo arrived at his own house without any impediment and leocadia's parents reached theirs heart broken and despairing,8.045,How did Rodolfo and Leocadia's parents feel upon reaching their respective houses?,"Rodolfo arrived at his own house without any impediment, while Leocadia's parents reached theirs heartbroken and despairing.",LibriSpeech/test-clean/5639/40744/5639-40744-0006.wav,
meanwhile rodolfo had leocadia safe in his custody and in his own apartment,5.825,Who is in Rodolfo's custody and where are they being kept?,"Leocadia is safe in Rodolfo's custody, and they are being kept in his own apartment.",LibriSpeech/test-clean/5639/40744/5639-40744-0007.wav,
who touches me am i in bed,2.215,Where am I in this situation described in the text?,You are in bed.,LibriSpeech/test-clean/5639/40744/5639-40744-0008.wav,
mother dear father do you hear me,2.375,"Who is the speaker addressing as ""mother"" and ""father""?","The speaker is addressing their own parents as ""mother"" and ""father"".",LibriSpeech/test-clean/5639/40744/5639-40744-0009.wav,
it is the only amends i ask of you for the wrong you have done me,4.12,What is the speaker requesting from the person who has wronged them?,The speaker is asking for the only amends they request from the person who has wronged them.,LibriSpeech/test-clean/5639/40744/5639-40744-0010.wav,
she found the door but it was locked outside,2.665,Where did she find the door and what was its condition?,"She found the door outside, but unfortunately, it was locked.",LibriSpeech/test-clean/5639/40744/5639-40744-0011.wav,
she succeeded in opening the window and the moonlight shone in so brightly that she could distinguish the colour of some damask hangings in the room,8.595,What did the woman manage to accomplish?,She succeeded in opening the window.,LibriSpeech/test-clean/5639/40744/5639-40744-0012.wav,
